ID,MARKET NAME,Total Inventory (SF),Vacancy,Asking Rent (USD/SF),Lat,Long,Walkscore
0,Philadelphia,"135,570,108",12.70%,$26.43 ,40.0076,-75.134,75
1,Washington D.C.,"332,015,221",16.20%,$41.34 ,38.9048,-77.0163,91
2,Chicago,"245,753,058",16.40%,$33.94 ,41.8369,-87.6848,41
3,Detroit,"67,520,823",18.90%,$19.16 ,42.3834,-83.1024,37
4,Minneapolis,"72,718,254",16.60%,$26.33 ,44.9635,-93.2678,80
5,Boston,"166,649,555",13.20%,$36.67 ,42.3327,-71.0815,86
6,Atlanta,"146,936,743",17.90%,$24.81 ,33.7627,-84.4231,60
7,Charlotte,"51,191,720",12.20%,$26.89 ,35.2079,-80.8301,76
8,Kansas City,"32,888,633",20.00%,$19.97 ,39.1239,-94.5541,20
9,Miami,"37,640,777",13.50%,$37.77 ,25.7753,-80.2089,87
10,Nashville,"36,281,816",11.20%,$27.27 ,36.1712,-86.7846,81
11,Raleigh-Durham,"48,150,905",10.60%,$24.61 ,35.8322,-78.644,10
12,Brooklyn,"47,609,232",20.00%,$46.92 ,40.7238,-73.9764,96
13,Manhattan,"23,847,963",8.50%,$72.48 ,40.7238,-73.9764,96
14,Denver,"112,230,856",15.20%,$29.50 ,39.762,-104.876,30
15,Portland,"60,525,998",10.70%,$28.76 ,45.5372,-122.65,88
16,Seattle,"98,834,807",9.60%,$35.79 ,47.6202,-122.351,92
17,San Francisco,"75,996,610",9.10%,$74.64 ,37.7642,-122.451,95
18,Silicon Valley,"70,622,781",19.40%,$4.16 ,,,
19,Los Angeles,"192,843,492",14.20%,$3.45 ,34.107,-118.412,5
20,Orange County,"97,702,972",12.80%,$2.93 ,,,
21,San Diego,"79,925,630",12.60%,$2.79 ,32.8169,-117.133,19
22,Austin,"51,868,418",10.70%,$38.65 ,30.3069,-97.7555,77
23,Dallas,"222,136,339",18.70%,$26.64 ,32.794,-96.7657,70
24,Houston,"167,690,845",23.80%,$30.80 ,29.7807,-95.386,72
25,Baltimore,"72,065,787",14.30%,$24.89 ,39.301,-76.6106,89
26,Salt Lake City,"57,606,204",9.00%,$23.24 ,,,
27,San Antonio,"31,084,022",15.30%,$23.07 ,29.4721,-98.5247,68
28,Phoenix,"15,204,193",22.10%,$26.08 ,33.5724,-112.089,63
29,St. Louis,"42,745,445",12.30%,$20.11 ,38.6358,-90.2451,67
30,Pittsburgh,"52,115,780",17.60%,$24.04 ,40.4396,-79.9763,63
31,Tampa Bay,"34,893,619",11.40%,$25.28 ,27.968,-82.4764,51
32,Indianapolis,"32,835,696",17.40%,$20.33 ,39.7771,-86.1458,91
33,Cincinnati,"35,794,287",20.30%,$19.22 ,39.1412,-84.506,45
34,Cleveland,"29,491,084",19.30%,$19.35 ,41.4793,-81.6802,58
35,Columbus,"29,673,730",14.30%,$19.89 ,39.986,-82.9852,47
36,Sacramento,"44,555,761",11.60%,$1.97 ,38.5666,-121.468,86
37,Milwaukee,"27,665,196",17.80%,$19.51 ,43.0641,-87.9672,72
38,New Orleans,"21,412,768",11.00%,$18.99 ,29.9633,-90.0494,86
39,Richmond,"24,233,284",11.30%,$19.72 ,37.5294,-77.4756,1
40,Jacksonville,"20,183,667",12.30%,$20.00 ,30.337,-81.6602,60
